summary,party,speaker
"The politician states Hamas is resisting mediation attempts, including from Egypt and the Palestinian Authority, and opposes bringing the conflict to the UN.",Lab,Mike Gapes
"The politician believes that the movement of Palestinians between areas is severely restricted, and that Hamas's military actions, including rocket attacks and association with terrorism, violate international humanitarian law.",Con,Bob Stewart
"This politician strongly opposes the E1 land transfer plan, viewing it as severely damaging to the prospects of a two-state solution and Palestinian statehood.",Lab,Mark Hendrick
"This politician strongly condemns Hamas and its attacks. They believe Hamas is undermining the Palestinian people's right to a democratic state. The politician doubts Israel's commitment to creating a separate Palestinian state. They criticize Israel's policies, including forced removals from East Jerusalem, which they see as preventing a Palestinian state. The politician describes the humanitarian situation in Gaza as desperate and compares the West Bank to segregated territories. They fear a two-state solution is unlikely.",Con,John Stanley
"I cannot provide a summary of the politician's stance on the conflict in Palestine and the humanitarian situation in Gaza based on the provided text, as it does not contain sufficient parliamentary speeches on this specific topic.",Lab,Yasmin Qureshi
"This politician criticizes Hamas's refusal to negotiate and its violent actions, stating these factors disqualify the group from being part of a peace process and prevent success.",Con,David Burrowes
"This politician threatens to distance the UK and EU from the US if Israel's Prime Minister blocks peace negotiations. They also criticize Israel's military response in Gaza as disproportionate, even though they acknowledge Hamas's rocket attacks against Israeli civilians.",Lab,Jack Straw
"This politician strongly opposes Hamas and considers it a terrorist organisation. They believe involvement with Hamas would be a serious issue. They are cautious about assigning blame for the conflict and lack of evidence, so they do not readily point fingers.",Con,Hugh Robertson
The politician opposes Israeli military actions in Gaza due to fears they will worsen the humanitarian crisis and radicalize more people. They believe Israel's restrictions on movement and settlement activities are illegal and prevent aid to Palestinians. The politician supports a sovereign Palestinian state.,Lab,Grahame M Morris
"The politician opposes Iran's influence and actions, seeing Iran as undermining stability in the Middle East, funding and supporting Hamas, and worsening the humanitarian crisis in Gaza.",Con,Richard Ottaway
"This politician opposes Hamas due to its anti-Israel stance and Iran ties, and views the conflict primarily as a humanitarian disaster.",Con,Richard Graham
"The politician states there is no moral difference between Palestinian violence from Hamas and Israeli military actions in Gaza. They oppose both Hamas's undermining of the peace process and Israel's excessive use of force, believing both sides are responsible for the cycle of violence.",SDLP,Mark Durkan
"Hamas's rocket attacks on Israel and refusal to stop or accept ceasefires are unacceptable and cause Palestinian civilian suffering in Gaza. The politician supports Israel's right to defend itself but warns against actions that could lose international support. They oppose Hamas's tactics, which hinder the two-state solution and Palestinian statehood, and believe Palestinian statehood cannot be achieved through violence.",Con,David Cameron
The politician agrees with Israel that Hamas must stop rocket attacks for peace talks to be possible and believes Hamas's refusal to accept a ceasefire is a major obstacle. They also believe that Israeli settlements are not the solution but that Hamas's current position is unacceptable for negotiations.,Con,John Howell
"The politician believes Hamas's actions are unacceptable and must change, and they fear Hamas could be replaced by an even more dangerous group.",Con,Tobias Ellwood
This politician strongly suggests that the Palestinian side has no negotiating power or valuable concessions to offer in discussions related to the conflict.,Con,Crispin Blunt
The politician believes Israel should create a Palestinian state acceptable to the Palestinians and is concerned about the humanitarian situation in Gaza. They oppose legislation that prioritizes Israel's Jewish identity over the rights of its minorities.,Lab,Andy McDonald
"This politician views Hamas's actions, including rocket attacks and rejection of peaceful state development, as detrimental to the peace process and a major setback to achieving a Palestinian state.",Con,Karl McCartney
