summary,party,speaker
"This politician opposes weakening climate change policies, criticizes the government's lack of action on carbon budgets, and believes fracking deregulation poses significant risks and cannot effectively reduce emissions.",Lab,Joan Walley
"The politician believes that addressing climate change requires ensuring fair energy markets and stronger consumer protections, including creating a new consumer watchdog.",Con,Robert Halfon
This politician opposes current government energy policies and believes they favor large energy companies. They argue that addressing high energy bills and breaking up the big six companies requires a Labour government.,Lab,Anas Sarwar
"This politician believes climate policies, such as the carbon floor price, are necessary but criticizes the government's implementation, particularly the handling of compensation for industries, as insufficient and potentially weak.",Lab,Derek Twigg
"This politician is skeptical about effective climate action and renewable energy investment, arguing that government policies and market mechanisms often fail to achieve affordable, carbon-free energy, and expressing concerns about the viability and implementation of green initiatives like offshore wind and fracking.",SNP,Michael Weir
"The politician opposes fossil fuels, criticizes government support for renewables as inadequate and unclear, and expresses concern about energy companies avoiding responsibility.",Lab,Nia Griffith
"This politician opposes specific climate-related government spending, like giving the UK Green Investment Bank more borrowing powers for renewables, and instead wants a direct energy price freeze to provide immediate relief from high energy costs.",Lab,William Bain
"The politician opposes government action to freeze energy prices, viewing it as too costly or politically difficult, and believes energy companies should not be constrained.",Lab,Stephen Doughty
"This politician opposes the expansion of onshore wind farms, viewing them as damaging to beautiful parts of Britain and a risk to democracy, and believes the associated costs negatively impact their development.",Con,Glyn Davies
This politician supports jobs related to wind turbines in the UK and opposes letting such jobs be lost to other countries. They also argue against energy companies making large profits when vulnerable people face high energy bills and cold winters.,Lab,Diana Johnson
"The politician believes the government is failing on green energy, relies too much on foreign technology, and criticises the lack of generous local incentives for renewable energy projects.",Lab,Barry Sheerman
The politician believes the government's climate change policies are flawed. They oppose large solar farms on greenfield sites and criticize the implementation of the warm home discount scheme.,Con,James Gray
"This politician believes that government policies, particularly changes to energy efficiency schemes like insulation and green deals, should help tackle fuel poverty and climate change but criticises specific government decisions that create obstacles for people and businesses seeking to improve energy efficiency.",Lab,Lilian Greenwood
"This politician supports using gas as a transitional fuel while promoting renewables to meet climate targets, but expresses concerns about the high costs and investment challenges of technologies like carbon capture and storage.",Con,Tim Yeo
"This politician opposes policies like energy price freezes that could hinder the transition to renewable energy, believing such projects as biomass conversion should be prioritized despite potential cost implications.",Con,Andrew Percy
"This politician believes climate change policies, particularly the adoption of low-carbon technology, lead to higher consumer bills and restrict market access.",Con,John Redwood
"The politician supports policies that promote renewable energy investments and energy efficiency to address climate change, while opposing fossil fuel extraction like fracking.",Lab,Mark Lazarowicz
"This politician opposes carbon price mechanisms and levies, believing they hinder renewable energy deployment and are ineffective for reducing emissions. They are skeptical about shale gas as a climate solution, seeing it as contributing to unburnable fossil fuels. The politician calls for alternative methods to secure energy capacity that are less costly and more secure, and questions the government's overall approach to energy and climate policy.",Lab,Alan Whitehead
The politician supports climate change measures like reducing carbon emissions and promoting insulation but expresses concern that some policies may negatively impact low-income households in fuel poverty due to cost increases or limited access to cheaper alternatives.,Con,Sarah Newton
"This politician believes climate change is not a serious threat, opposes expanding renewable energy, distrusts smart meter technology, and rejects decarbonization policies despite suggesting nuclear power as an alternative.",Con,David Davies
"The politician believes EU climate policies focusing on renewables are misguided and misallocate funds needed for decarbonisation. They argue renewables should be replaced by carbon capture and storage, nuclear power, and shale gas to reduce costs and emissions effectively.",Con,David Mowat
"The politician opposes government policies promoting energy efficiency to combat climate change, arguing they are ineffective or counterproductive due to funding cuts, lack of market incentives, and energy company resistance.",Lab,Graham Jones
The politician believes that government policies on climate change must be strengthened through increased support for renewable energy and energy efficiency to address issues like fuel poverty and achieve leadership in Europe.,Lab,Kerry McCarthy
"This politician opposes climate policies like carbon capture because they are regressive, increasing energy bills for low-income households, and believes opposition from the Labour party prevented these bills from rising.",Con,Gregory Barker
"This politician argues that policies promoting renewable energy, such as wind turbines, often unfairly burden the poorest with inflated energy costs and lack proof of necessity. They also contend that planning decisions automatically favor renewable developments, undermining local concerns and potentially damaging public support for climate action.",Con,Geoffrey Cox
"This politician believes reducing subsidies for wind turbines would stop new applications, opposes placing them in the countryside, and thinks local communities should benefit and consent to wind turbine projects.",Con,Neil Parish
"This politician believes the UK government is undermining green growth and falling behind on climate action, specifically wanting the UK to lead in wind energy and criticizing the government's policies for reducing investment in renewables.",Lab,Andy Sawford
"This politician distrusts government action on climate change, particularly promises made by the previous government, and is wary of exaggerated claims or false equivalences regarding energy policy decisions.",Lab,Tom Greatrex
"This politician believes government policies, including the Budget, have failed to support the UK becoming a leading force in low-carbon technology and have actively hindered investment in it.",Lab,Iain Wright
"This politician believes the big six energy companies need to be reformed and held accountable for their pricing, as they are not passing on lower wholesale energy prices to consumers.",Lab,Chris Leslie
"This politician opposes the development of shale gas unless it is guaranteed safe with strict regulatory oversight, reflecting a cautious stance that may align with environmental concerns over fossil fuel extraction.",Con,Mark Menzies
"This politician believes government subsidies for renewable energy, like onshore wind, should be fair and consistently applied. They oppose recent government decisions to make these subsidies unaffordable, arguing it is unfair and not supportable.",Lab,Barry Gardiner
"This politician believes energy efficiency through smart meters is important but criticises the lack of standards and high costs. However, they strongly oppose renewable energy projects like wind turbines and solar panel farms.",Con,Ian Liddell-Grainger
"The politician believes current government policies on energy are failing to reduce bills for consumers and are missing opportunities for green investment, risking energy security and worsening fuel poverty.",Lab,Caroline Flint
"This politician opposes Labour's energy policies, believes they failed to address energy security and decarbonization, and supports government intervention and investment for these goals.",LibDem,Edward Davey
"This politician opposes the construction of new nuclear power stations as a climate change solution because of their high costs, safety concerns, and negative impact on local communities.",Lab,Paul Flynn
This politician believes that the current approach to energy policy is ineffective because energy companies are not making a profit.,Con,Phillip Lee
This politician supports policies that prioritize energy company profits over providing affordable heating for vulnerable people.,Lab,Andrew Slaughter
"The politician is critical of the UK government's climate change policies, highlighting failures in compensation for energy-intensive industries under the carbon price floor and the low investment in clean energy.",Lab,Catherine McKinnell
"This politician views domestic shale gas as preferable to imported liquefied natural gas (LNG) for climate reasons, arguing that imported LNG has a higher overall environmental impact in terms of emissions.",Con,Dan Byles
This politician opposes investing in fossil fuel technology and believes the government should prioritize renewable energy sources to reduce the carbon footprint and improve energy security.,Lab,Kate Green
"This politician opposes Labour's energy policies, believes they would increase long-term energy bills and fuel poverty, and questions the government's cost estimates for meeting climate change targets.",Con,Chris Heaton-Harris
This politician believes climate change policies can increase energy costs for low-income households and negatively impact local economies like tourism through certain green projects.,Lab,Geraint Davies
"This politician opposes prioritizing short-term energy company profits over long-term climate goals, criticizing recent policy changes that threaten renewable energy investments and projects.",Lab,Michael Connarty
"This politician is skeptical about certain renewable energy projects like wind farms unless thoroughly assessed for environmental impact, and they are also cautious about climate policies that could negatively affect the economy.",Con,Ed Vaizey
The politician opposes subsidies for offshore wind turbines due to concerns about their cost and potential environmental damage to heritage sites.,Con,Christopher Chope
"The politician opposes climate policies that increase costs, such as subsidies for renewables and carbon taxes.",Lab,Tom Blenkinsop
"The politician argues that renewable energy sources such as wind are unreliable and necessitate additional conventional power generation, while questioning the government's costings for renewables and suggesting that such policies may unfairly burden taxpayers.",Con,Peter Lilley
"This politician strongly supports renewable energy sources as essential for tackling climate change and improving energy security, criticising past governments for insufficient action on renewables.",Con,Matt Hancock
"The politician supports investment in low-carbon infrastructure but is critical of the carbon price floor, as it does not reduce emissions from power generation.",Lab,Alex Cunningham
"The politician believes the UK government is undermining its competitiveness by not investing sufficiently in green growth and sending conflicting signals about green energy, potentially harming the country's ability to attract investment.",Lab,Chi Onwurah
This politician opposes government subsidies for renewable energy and believes wind turbines are not truly sustainable. They argue that current climate policies are costly and damage the UK's competitiveness and countryside.,UKIP,Douglas Carswell
"This politician views carbon capture and storage as unlikely to be a solution soon and downplays the urgency of phasing out coal, while acknowledging challenges in transitioning to renewable energy in other countries.",Lab,Ian Lavery
"This politician opposes using shale gas as a climate solution, believes it risks increasing carbon emissions, and supports investment in renewable energy to protect jobs.",LibDem,Norman Baker
This politician believes climate change policies should not disproportionately burden specific industries like manufacturing.,Lab,Nicholas Dakin
"The politician opposes the current government approach because it does not address green energy, which is seen as essential for both the economy and the environment.",Lab,John Mann
This politician opposes energy policies that could worsen climate change and is skeptical about the benefits of fracking.,Con,Anne McIntosh
