summary,party,speaker
The Member believes that prioritizing manufacturing and cheaper energy outweighs concerns about climate change and opposes policies promoting renewable energy or strict decarbonisation measures.,Con,David Davies
"The politician advocates for prioritizing shale gas and nuclear power over renewable energy and carbon reduction policies, arguing against costly green levies and prioritizing lower energy prices over EU environmental targets.",Con,David Mowat
"The politician believes the government is failing to adequately address rising energy costs and improve energy efficiency in homes, particularly due to a lack of action on competition within the energy market.",Lab,Graham Jones
"The politician advocates for pragmatic energy policies focused on household support and market competitiveness, while expressing skepticism regarding ambitious carbon targets and highlighting instances of government actions undermining renewable energy initiatives.",Lab,Kerry McCarthy
The politician opposes government subsidies for households to help with rising energy costs.,Con,Gregory Barker
The politician opposes prioritizing wind turbine developments within planning decisions due to concerns about their impact on local landscapes and energy costs.,Con,Geoffrey Cox
"The politician believes wind turbine development is detrimental due to unreliable electricity generation, excessive subsidies, lack of local community benefit, and visual impact.",Con,Neil Parish
"The politician advocates for increased investment in green industries, particularly wind energy, and criticizes the government’s lack of decisive action on decarbonisation and rising energy costs.",Lab,Andy Sawford
The politician advocates for supporting energy-intensive industries through compensation schemes while expressing skepticism regarding investment in renewable energy and advocating for shale gas exploration.,Lab,Tom Greatrex
The politician opposes government policies that hinder investment in low-carbon technologies and limit Britain’s competitiveness in the global energy market.,Lab,Iain Wright
The politician believes energy companies are failing to protect consumers from rising energy costs.,Lab,Chris Leslie
"The Prime Minister prioritizes the development of shale gas for energy security, emphasizing stringent safety regulations and criticizing those who oppose it.",Con,Mark Menzies
The politician opposes subsidies for onshore wind power and questions inconsistencies in government financial support.,Lab,Barry Gardiner
"The politician opposes the widespread deployment of renewable energy technologies like wind turbines and solar farms, prioritizing instead a lack of standardization and clarity surrounding smart metering.",Con,Ian Liddell-Grainger
"The politician advocates for stronger government intervention in the energy market to protect consumers, ensure investment in energy efficiency, and bolster renewable energy, expressing concern over the lack of consumer benefit and reduced investment in clean energy.",Lab,Caroline Flint
"The politician believes that rising energy bills are not primarily caused by market failures or Labour policies, and opposes interventions like price freezes and new regulatory bodies.",LibDem,Edward Davey
"Simon Hughes opposes nuclear power due to consistent cost overruns, potential legal challenges regarding subsidies, and public concerns surrounding its proximity.",Lab,Paul Flynn
The politician believes the UK’s current energy policy is unclear and ineffective.,Con,Phillip Lee
He prioritizes continued reliance on fossil fuel production and investment over immediate action to mitigate climate change and support vulnerable households.,Lab,Andrew Slaughter
The politician believes the government has not adequately compensated energy-intensive companies for costs related to carbon pricing schemes.,Lab,Catherine McKinnell
"The politician opposes shale gas extraction, believing it is environmentally damaging and economically inefficient compared to alternative energy sources.",Con,Dan Byles
The politician opposes significant investment in fossil fuel technology and advocates prioritizing investment in renewable energy sources.,Lab,Kate Green
The politician opposes policies prioritizing climate action that he believes would increase energy bills and harm vulnerable households.,Con,Chris Heaton-Harris
The politician opposes large-scale renewable energy projects that negatively impact local economies and energy costs.,Lab,Geraint Davies
"The politician prioritizes short-term energy market profits over investment in renewable energy sources, leading to a reduction in support for wind farms and a smaller commitment to combating climate change.",Lab,Michael Connarty
"The politician prioritizes energy security and industrial competitiveness, expressing concern about the impact of renewable energy projects and European energy market issues on economic growth.",Con,Ed Vaizey
The politician opposes government investment in offshore wind farms due to concerns about their potential impact on heritage sites.,Con,Christopher Chope
"The politician opposes government policies aimed at reducing carbon emissions, specifically criticizing subsidies and regulations imposed on energy companies.",Lab,Tom Blenkinsop
The politician advocates for maintaining conventional energy sources and opposes investments in renewables due to concerns about their reliability and potential cost to taxpayers.,Con,Peter Lilley
The politician supports renewable energy development while advocating for local community involvement in planning decisions and expressing skepticism towards prioritizing shale gas exploration.,Con,Matt Hancock
"The politician supports increased investment in construction, particularly cement and concrete, and opposes policies aimed at reducing carbon emissions from energy production.",Lab,Alex Cunningham
The politician believes the government’s inconsistent approach to green investment is damaging the UK’s ability to attract jobs and investment in renewable energy.,Lab,Chi Onwurah
"The politician opposes government investment in renewable energy, arguing it harms economic competitiveness and is reliant on subsidies.",UKIP,Douglas Carswell
The politician expressed skepticism regarding the immediate feasibility and effectiveness of transitioning away from coal and achieving significant reductions in carbon emissions globally.,Lab,Ian Lavery
The politician opposes shale gas extraction due to a lack of evidence regarding its effectiveness and potential environmental harm.,LibDem,Norman Baker
"The politician opposes policies that he views as punitive taxes on UK industries, particularly regarding climate change mitigation.",Lab,Nicholas Dakin
The politician opposes prioritizing policies supporting renewable energy and reducing carbon emissions.,Lab,John Mann
The politician believes in market-led energy solutions and opposes policies that interfere with energy prices.,Con,Anne McIntosh
