summary,party,speaker
The politician prioritizes support for low-income households reliant on expensive alternative heating sources and expresses concern about the accessibility of existing energy efficiency schemes.,Con,Sarah Newton
"The politician opposes significant investment in renewable energy, believes the threat of runaway global warming is overstated, and expresses concerns about the potential control exerted by energy companies over consumer energy supplies.",Con,David Davies
"The politician believes that current climate policies, particularly those focused on renewables and green levies, are ineffective, unnecessarily expensive, and misdirect investment away from technologies like carbon capture and nuclear power.",Con,David Mowat
"The politician believes the government is failing to adequately address rising energy bills and poor energy efficiency standards in homes, particularly in older properties, due to reduced funding and the incentives of energy companies.",Lab,Graham Jones
"The politician advocates for strengthening energy efficiency policies, criticizes the impact of changes to the ECO scheme, and expresses skepticism about the UK’s leadership role on climate change while highlighting instances of government actions undermining renewable energy projects.",Lab,Kerry McCarthy
"The politician opposes government-funded support for households to help with rising energy costs, viewing it as regressive and potentially increasing energy bills.",Con,Gregory Barker
"The politician opposes the widespread approval of wind turbine developments, particularly those impacting landscape value and disproportionately affecting low-income households through inflated energy prices.",Con,Geoffrey Cox
"The politician opposes the construction of wind turbines, arguing they are poorly supported by subsidies, do not consistently generate electricity, and are imposed on communities without local benefit.",Con,Neil Parish
"The politician prioritizes economic growth and investment, particularly in industries like energy, and opposes restrictions on renewable energy sources like wind farms.",Lab,Andy Sawford
The politician advocates for supporting energy-intensive industries through compensation schemes while expressing skepticism about the rollout of renewable energy policies and cautious support for shale gas exploration contingent on public consent.,Lab,Tom Greatrex
The politician opposes government policies that hinder investment in low-carbon technologies and views current climate policies as detrimental to British businesses and their competitiveness.,Lab,Iain Wright
"The politician believes the government has not adequately addressed the rising cost of energy for households, specifically criticizing the inaction regarding the large energy providers.",Lab,Chris Leslie
"The Prime Minister prioritizes energy security through shale gas development, emphasizing the need for rigorous safety regulations and rejecting corporate self-regulation as a sufficient assurance for public confidence.",Con,Mark Menzies
"The politician opposes subsidies for onshore wind energy, arguing that the current cost of Ã‚Â£70 to Ã‚Â£80 per megawatt is unfair and unsustainable.",Lab,Barry Gardiner
"The politician opposes the widespread deployment of renewable energy technologies, specifically wind turbines and solar farms, and prioritizes a standardized approach to energy monitoring.",Con,Ian Liddell-Grainger
"The politician believes the government is failing to adequately address rising energy costs for consumers, particularly regarding energy efficiency standards and investment in renewable energy, and criticizes cuts to programs designed to help vulnerable households.",Lab,Caroline Flint
"The politician believes that rising energy bills are not primarily caused by market failures or past Labour policies, arguing that pursuing policies focused on price freezes and regulation would negatively impact investment, decarbonisation, and energy security.",LibDem,Edward Davey
"Simon Hughes opposes nuclear power, citing consistent cost overruns, potential legal challenges regarding subsidies, and public concern regarding proximity to power stations.",Lab,Paul Flynn
The politician believes current UK energy policy is unclear and that energy companies are experiencing financial difficulties.,Con,Phillip Lee
"The politician believes the government has not adequately compensated energy-intensive companies for costs associated with climate change policies, specifically the EU ETS and carbon price floor.",Lab,Catherine McKinnell
"The politician opposes shale gas extraction, citing evidence suggesting it would result in higher carbon emissions and generate no economic benefit for the UK.",Con,Dan Byles
"The politician opposes substantial investment in fossil fuel technology, prioritizing instead the development of renewable energy sources for energy security and long-term environmental sustainability.",Lab,Kate Green
"The politician opposes policies aimed at achieving climate targets, particularly those reliant on sustainable biomass, believing they would lead to increased energy costs and reduced energy supply.",Con,Chris Heaton-Harris
"The politician believes that climate change policies, such as large renewable energy projects, can negatively impact local economies and household finances.",Lab,Geraint Davies
The politician opposes increased investment in renewable energy sources and prioritizes profits from the existing energy market.,Lab,Michael Connarty
The politician opposes the Navitus Bay wind farm development due to concerns about its potential impact on a UNESCO World Heritage Site and the negative effects of high energy costs on European industries.,Con,Ed Vaizey
"The politician opposes subsidies for offshore wind farms, particularly when they pose a risk to heritage sites like the Jurassic Coast.",Con,Christopher Chope
"The politician opposes government intervention in energy markets, particularly policies like subsidies for renewable energy and carbon pricing schemes, believing they harm British industries and consumer choices.",Lab,Tom Blenkinsop
"The politician believes that renewable energy sources are insufficient to meet energy demands and that investing in conventional fuels is necessary, alongside concerns about the financial impact on taxpayers.",Con,Peter Lilley
The politician supports the development of renewable energy sources while emphasizing the importance of local community involvement in planning decisions and expressing concern about past government policies regarding energy sources.,Con,Matt Hancock
"The politician advocates for increased investment in construction, particularly cement and concrete, to maximize economic activity and argues against policies aimed at reducing carbon emissions from power generation.",Lab,Alex Cunningham
The politician believes the government’s lack of investment in green industries is causing the UK to lose jobs and opportunities to other countries.,Lab,Chi Onwurah
"The politician opposes significant investment in renewable energy sources, arguing that subsidies make them unsustainable and detrimental to the environment and economic competitiveness.",UKIP,Douglas Carswell
"The politician believes that significant progress on reducing carbon emissions through technologies like carbon capture and storage, or shifting reliance on coal, is unlikely in the near future, particularly given international challenges.",Lab,Ian Lavery
"The politician expresses significant skepticism regarding shale gas, believing it is an overhyped solution with uncertain viability, potential for high costs, and a risk of contributing to carbon emissions, while also noting declining public support for fracking.",LibDem,Norman Baker
"The politician opposes policies that he views as punitive taxes on UK industries, particularly steel, and is critical of the government’s approach to supporting renewable energy.",Lab,Nicholas Dakin
The politician opposes prioritizing green energy and supports maintaining the UK’s economic advantage through continued reliance on existing energy sources.,Lab,John Mann
The politician supports investment in shale gas extraction and opposes policies that restrict energy production.,Con,Anne McIntosh
